drug,uses
minoxidil,Treatment of Hair loss
mupirocin,Treatment of Bacterial skin infections
norfloxacin + tinidazole,Treatment of DiarrheaTreatment of Dysentery
levo-carnitine + methylcobalamin + folic acid,Treatment of Nutritional deficiencies
methylcobalamin + alpha lipoic acid + vitamin b + folic acid,Treatment of Vitamin & mineral deficiencyTreatment of Diabetic nerve pain
domperidone + esomeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia
nimesulide, Pain reliefTreatment of Fever
norfloxacin + lactobacillus,Treatment of Bacterial infections
etoricoxib + thiocolchicoside,Treatment of Pain due to muscle spasm
escitalopram oxalate,Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder
esomeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
methylcobalamin + vitamin b + nicotinamide,Treatment of Nutritional deficiencies
escitalopram oxalate,Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder
nimesulide, Pain reliefTreatment of Fever
sodium bicarbonate,Treatment of IndigestionTreatment of Alkalinizing agentTreatment of Metabolic acidosis
nifedipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke
etoricoxib, Pain relief
nicorandil,Treatment of Angina (heart-related chest pain)
ethinyl estradiol + desogestrel, Contraception
methylcobalamin + niacinamide + vitamin b,Treatment of Nutritional deficiencies
polymyxin b + neomycin + bacitracin + hydrocortisone,Treatment of Bacterial skin infections
naproxen + domperidone,Prevention of Migraine
nitrofurantoin,Treatment of Bacterial infections of urinary tract
beclometasone + neomycin + clotrimazole,Treatment of Skin infections
tolvaptan,Treatment of Low levels of sodium in the blood
hydroquinone + mometasone + tretinoin,Treatment of Melasma
nitrofurantoin,Treatment of Bacterial infections of urinary tract
amoxycillin,Treatment of Bacterial infections
gabapentin + methylcobalamin,Treatment of Neuropathic pain
nitroglycerin,Treatment of Angina (heart-related chest pain)
thiocolchicoside + aceclofenac + paracetamol,Treatment of Muscular pain
etoricoxib + paracetamol, Pain relief
methylcobalamin + alpha lipoic acid + myo-inositol + folic acid + chromium picolinate + selenium + benfotiamine,Treatment of Nutritional deficiencies
pregabalin + nortriptyline + methylcobalamin,Treatment of Neuropathic pain
nebivolol,Treatment of Hypertension (high blood pressure)Prevention of Heart attackPrevention of Stroke
benfotiamine + folic acid + methylcobalamin + pregabalin + vitamin b,Treatment of Neuropathic pain
levosulpiride + esomeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
nifedipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke
acetylcysteine + pyridoxamine dihydrochloride,Treatment of Chronic kidney disease
naproxen + domperidone,Prevention of Migraine
esomeprazole + itopride, Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease
methylcobalamin + niacinamide + vitamin b,Treatment of Nutritional deficiencies
filgrastim,Prevention of Infections after chemotherapy
nitazoxanide, Diarrhea Worm infections
bacitracin + neomycin + polymyxin b, Bacterial skin infections
carbimazole, Hyperthyroidism
nitroglycerin,Treatment of Angina (heart-related chest pain)
esomeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
rosuvastatin,Treatment of High cholesterol Prevention of heart attack and stroke
naphazoline + chlorpheniramine maleate + methylcellulose, Allergic eye disease
folic acid + methylcobalamin + niacinamide, Nutritional deficiencies
caffeine + diphenhydramine + paracetamol + phenylephrine,Treatment of Common cold
carbimazole, Hyperthyroidism
nitrofurantoin,Treatment of Bacterial infections of urinary tract
indapamide, Hypertension (high blood pressure)Treatment of Edema
ketoconazole, Fungal skin infections
nadifloxacin,Treatment of Bacterial skin infections
piracetam, Alzheimer's disease Stroke Dementia in Parkinson's disease Age related memory loss Head injury
methylprednisolone,Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders
mefenamic acid + paracetamol, Pain reliefTreatment of Fever
nebivolol,Treatment of Hypertension (high blood pressure)Prevention of Heart attackPrevention of Stroke
sulphacetamide + neomycin + bacitracin, Bacterial skin infections
polymyxin b + neomycin,Treatment of Ear infection
rosuvastatin + clopidogrel, Heart attack prevention and high cholesterol
nepafenac,Treatment of Post-operative eye pain and inflammation
insulin aspart,Treatment of Diabetes
nimesulide + paracetamol, Pain relief
insulin aspart + insulin aspart protamine, Diabetes
nimesulide + paracetamol, Pain relief
nadifloxacin,Treatment of Bacterial skin infections
levosulpiride + rabeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Intestinal ulcersTreatment of Irritable bowel syndrome
methylcobalamin + pregabalin,Treatment of Neuropathic pain
clindamycin + nicotinamide,Treatment of Acne
pregabalin + nortriptyline + methylcobalamin,Treatment of Neuropathic pain
bacillus clausii, Diarrhea
fluticasone propionate + azelastine,Treatment of Sneezing and runny nose due to allergies
insulin aspart + insulin aspart protamine, Diabetes
ambroxol + guaifenesin + terbutaline,Treatment of Cough with mucus
amoxycillin + clavulanic acid,Treatment of Bacterial infections
norepinephrine, Low blood pressure
norethisterone,Treatment of Heavy menstrual bleedingTreatment of Pain during menstruationTreatment of EndometriosisTreatment of Premenstrual syndrome (PMS)
nebivolol,Treatment of Hypertension (high blood pressure)Prevention of Heart attackPrevention of Stroke
nitrofurantoin,Treatment of Bacterial infections of urinary tract
amoxycillin + clavulanic acid,Treatment of Bacterial infections
caffeine + chlorpheniramine maleate + paracetamol + phenylephrine,Treatment of Common cold
mebeverine,Treatment of Irritable bowel syndrome
esomeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
nepafenac,Treatment of Post-operative eye pain and inflammation
amoxycillin,Treatment of Bacterial infections
naltrexone, Opioid dependence Alcohol addiction
albendazole,Treatment of Parasitic infections
cilnidipine + telmisartan,Treatment of Hypertension (high blood pressure)
naproxen, Pain relief
glycopyrrolate, Chronic obstructive pulmonary disease (COPD) General Anaesthesia Peptic ulcer disease
etoricoxib, Pain relief
naproxen + domperidone,Prevention of Migraine
ketoconazole, Fungal skin infections
pregabalin + nortriptyline + methylcobalamin,Treatment of Neuropathic pain
nepafenac,Treatment of Post-operative eye pain and inflammation
methylcobalamin, Vitamin B12 deficiency
gabapentin + methylcobalamin,Treatment of Neuropathic pain
pregabalin + nortriptyline,Treatment of Neuropathic pain
esomeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
naphazoline + chlorpheniramine maleate + hydroxypropylmethylcellulose + zinc,Treatment of Allergic eye disease
nebivolol,Treatment of Hypertension (high blood pressure)Prevention of Heart attackPrevention of Stroke
nebivolol,Treatment of Hypertension (high blood pressure)Prevention of Heart attackPrevention of Stroke
nitrofurantoin,Treatment of Bacterial infections of urinary tract
amoxycillin + clavulanic acid,Treatment of Bacterial infections
caffeine + chlorpheniramine maleate + paracetamol + phenylephrine,Treatment of Common cold
mebeverine,Treatment of Irritable bowel syndrome
esomeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
nepafenac,Treatment of Post-operative eye pain and inflammation
amoxycillin,Treatment of Bacterial infections
naltrexone, Opioid dependence Alcohol addiction
albendazole,Treatment of Parasitic infections
cilnidipine + telmisartan,Treatment of Hypertension (high blood pressure)
naproxen, Pain relief
glycopyrrolate, Chronic obstructive pulmonary disease (COPD) General Anaesthesia Peptic ulcer disease
etoricoxib, Pain relief
naproxen + domperidone,Prevention of Migraine
ketoconazole, Fungal skin infections
pregabalin + nortriptyline + methylcobalamin,Treatment of Neuropathic pain
nepafenac,Treatment of Post-operative eye pain and inflammation
gabapentin + methylcobalamin,Treatment of Neuropathic pain
pregabalin + nortriptyline,Treatment of Neuropathic pain
esomeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
naphazoline + chlorpheniramine maleate + hydroxypropylmethylcellulose + zinc,Treatment of Allergic eye disease
domperidone + esomeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia
fosfomycin, Bacterial infections of urinary tract
nitroglycerin,Treatment of Angina (heart-related chest pain)
nifedipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke
clindamycin + nicotinamide,Treatment of Acne
norfloxacin, Bacterial eye / ear infections
ivermectin,Treatment of Parasitic infections
pregabalin + nortriptyline,Treatment of Neuropathic pain
albendazole,Treatment of Parasitic infections
nebivolol + s-amlodipine, Hypertension (high blood pressure)
adapalene + clindamycin,Treatment of Acne
potassium citrate + magnesium citrate + vitamin b,Treatment and prevention of Kidney stone
nimesulide, Pain reliefTreatment of Fever
norfloxacin + tinidazole,Treatment of DiarrheaTreatment of Dysentery
doxylamine + vitamin b,Treatment of Nausea and vomiting in pregnancy
amoxycillin + clarithromycin + esomeprazole,Treatment of Peptic ulcer disease
norethisterone,Treatment of Heavy menstrual bleedingTreatment of Pain during menstruationTreatment of EndometriosisTreatment of Premenstrual syndrome (PMS)
nimesulide, Pain reliefTreatment of Fever
nimodipine, Subarachnoid haemorrhage
escitalopram oxalate,Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder
aspirin + rosuvastatin + clopidogrel, Heart attack
fenofibrate + rosuvastatin,Treatment of High cholesterolPrevention of Heart attack
nicorandil,Treatment of Angina (heart-related chest pain)
piracetam, Alzheimer's disease Stroke Dementia in Parkinson's disease Age related memory loss Head injury
ofloxacin + metronidazole + lactic acid bacillus,Treatment of Bacterial infections
nefopam + paracetamol, Pain relief
nitrofurantoin,Treatment of Bacterial infections of urinary tract
naphazoline + hydroxypropylmethylcellulose + chlorpheniramine maleate + boric acid,Treatment of Allergic eye disease
nimesulide + paracetamol, Pain relief
levocetirizine + montelukast,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions
etoricoxib, Pain relief
chlorpheniramine maleate + dextromethorphan hydrobromide,Treatment of Dry cough
mometasone + nadifloxacin + terbinafine,Treatment of Skin infections
doxycycline + lactobacillus,Treatment of Bacterial infections
methylcobalamin,Treatment of Pernicious Anemia Vitamin B12 deficiency
rosuvastatin + clopidogrel, Heart attack prevention and high cholesterol
nebivolol + telmisartan, Hypertension (high blood pressure)
nimesulide, Pain reliefTreatment of Fever
nebivolol,Treatment of Hypertension (high blood pressure)Prevention of Heart attackPrevention of Stroke
methylprednisolone,Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders
nicorandil,Treatment of Angina (heart-related chest pain)
pregabalin + nortriptyline + methylcobalamin + vitamin d, Neuropathic pain
alpha ketoanalogue,Treatment of Chronic kidney disease
levosulpiride, Gastroesophageal reflux disease (Acid reflux) Irritable bowel syndrome Heartburn
naproxen, Pain relief
nitrofurantoin,Treatment of Bacterial infections of urinary tract
amoxycillin,Treatment of Bacterial infections
pyrantel pamoate, Worm infections
clotrimazole, Fungal infections of mouth (Thrush)Treatment of Fungal infections
methylcobalamin + pregabalin,Treatment of Neuropathic pain
nebivolol,Treatment of Hypertension (high blood pressure)Prevention of Heart attackPrevention of Stroke
sodium bicarbonate,Treatment of IndigestionTreatment of Alkalinizing agentTreatment of Metabolic acidosis
minoxidil,Treatment of Hair loss
etoricoxib + thiocolchicoside,Treatment of Pain due to muscle spasm
nortriptyline, Depression Bed-wetting Neuropathic pain
aspirin + rosuvastatin + clopidogrel, Heart attack
pregabalin,Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
nadifloxacin,Treatment of Bacterial skin infections
etoricoxib + thiocolchicoside,Treatment of Pain due to muscle spasm
ofloxacin + metronidazole,Treatment of Bacterial & parasitic infectionsTreatment of DiarrheaTreatment of Dysentery
citicoline + piracetam, Stroke
nebivolol + s-amlodipine, Hypertension (high blood pressure)
telmisartan + amlodipine,Treatment of Hypertension (high blood pressure)
ciclopirox, Fungal skin infections Fungal nail infections
alpha ketoanalogue,Treatment of Chronic kidney disease
glibenclamide + metformin + pioglitazone,Treatment of Type 2 diabetes mellitus
nicorandil,Treatment of Angina (heart-related chest pain)
pregabalin + nortriptyline,Treatment of Neuropathic pain
ketoconazole + zinc pyrithione,Treatment of Fungal skin infectionsTreatment of Dandruff
nitrofurantoin,Treatment of Bacterial infections of urinary tract
piracetam, Alzheimer's disease Stroke Dementia in Parkinson's disease Age related memory loss Head injury
pregabalin + nortriptyline,Treatment of Neuropathic pain
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
nefopam, Pain relief
naltrexone, Opioid dependence Alcohol addiction
pregabalin,Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
pregabalin + nortriptyline,Treatment of Neuropathic pain
melatonin,Treatment of InsomniaTreatment of Jet lag
amlodipine + indapamide, Hypertension (high blood pressure)
inositol nicotinate, Peripheral vascular disease
pyrantel pamoate, Worm infections
norethisterone,Treatment of Heavy menstrual bleedingTreatment of Pain during menstruationTreatment of EndometriosisTreatment of Premenstrual syndrome (PMS)
thiocolchicoside + aceclofenac + paracetamol,Treatment of Muscular pain
nimesulide, Pain reliefTreatment of Fever
amitriptyline + pregabalin, Neuropathic pain
progesterone, Hormone replacement therapyTreatment of Female infertility
nepafenac,Treatment of Post-operative eye pain and inflammation
clobetasol,Treatment of Allergic skin conditions
nitazoxanide, Diarrhea Worm infections
atorvastatin + aspirin,Treatment of Prevention of heart attack and stroke
nicergoline, Raynaud's diseaseTreatment and prevention of Migraine
carbimazole, Hyperthyroidism
caffeine + paracetamol,Treatment of Headache
fluconazole,Treatment of Fungal infections
stanozolol, Angioedema
telmisartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
norethisterone,Treatment of Heavy menstrual bleedingTreatment of Pain during menstruationTreatment of EndometriosisTreatment of Premenstrual syndrome (PMS)
nadifloxacin,Treatment of Bacterial skin infections
citicoline + piracetam, Stroke
norfloxacin, Bacterial infections
pregabalin + nortriptyline,Treatment of Neuropathic pain
tretinoin,Treatment of Acne Acute promyelocytic leukaemia
pregabalin + methylcobalamin + alpha lipoic acid, Neuropathic pain
nimesulide + paracetamol + tizanidine, Pain due to muscle spasm
nitrofurantoin,Treatment of Bacterial infections of urinary tract
esomeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
insulin aspart,Treatment of Diabetes
nebivolol + amlodipine, Hypertension (high blood pressure)
nicorandil,Treatment of Angina (heart-related chest pain)
fluticasone propionate,Treatment of Sneezing and runny nose due to allergies
clotrimazole,Treatment of Fungal skin infections
methylcobalamin + pregabalin,Treatment of Neuropathic pain
etoricoxib + thiocolchicoside,Treatment of Pain due to muscle spasm
progesterone, Hormone replacement therapyTreatment of Female infertility
sodium hyaluronate,Treatment of Dry eyes
methylcobalamin + vitamin b + nicotinamide,Treatment of Nutritional deficiencies
clobetasol + fusidic acid,Treatment of Skin infections
adapalene + clindamycin,Treatment of Acne
chlorpheniramine maleate + phenylephrine,Treatment of Common cold
levo-carnitine, Carnitine deficiency
levocetirizine + montelukast,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions
piracetam, Alzheimer's disease Stroke Dementia in Parkinson's disease Age related memory loss Head injury
diclofenac, Pain relief
natamycin,Treatment of Fungal infections of eye
nebivolol,Treatment of Hypertension (high blood pressure)Prevention of Heart attackPrevention of Stroke
nicotinic acid, Nutritional deficiencies
telmisartan + chlorthalidone, Hypertension (high blood pressure)
camphor + hydroxypropylmethylcellulose + menthol + naphazoline + phenylephrine,Treatment of Allergic eye disease
clobetasol + miconazole + neomycin,Treatment of Skin infections
olmesartan medoxomil + cilnidipine, Hypertension (high blood pressure)
isosorbide mononitrate,Prevention of Angina (heart-related chest pain)
sodium hyaluronate,Treatment of Dry eyes
alpha lipoic acid + folic acid + methylcobalamin + pregabalin + vitamin b, Neuropathic pain
ketoconazole + coal tar,Treatment of Dandruff
telmisartan + metoprolol succinate,Treatment of Hypertension (high blood pressure)
cyproheptadine + tricholine citrate + sorbitol, Appetite stimulant
alendronic acid,Treatment of OsteoporosisTreatment of Paget's disease
fluconazole,Treatment of Fungal infections
nintedanib,Treatment of Idiopathic pulmonary fibrosisTreatment of Non-small cell lung cancer
clobetasol + salicylic acid,Treatment of EczemaTreatment of Psoriasis
telmisartan + metoprolol succinate,Treatment of Hypertension (high blood pressure)
clindamycin + clotrimazole, Syndromic treatment of vaginal discharge
pregabalin + nortriptyline,Treatment of Neuropathic pain
norethisterone,Treatment of Heavy menstrual bleedingTreatment of Pain during menstruationTreatment of EndometriosisTreatment of Premenstrual syndrome (PMS)
nebivolol + hydrochlorothiazide, Hypertension (high blood pressure)
varicella vaccine attenuated,Prevention of Chickenpox
tobramycin,Treatment of Bacterial eye infections
paracetamol, Pain reliefTreatment of Fever
sodium chloride,Treatment of Nasal congestion (blocked nose)
olmesartan medoxomil + cilnidipine + chlorthalidone, Hypertension (high blood pressure)
mometasone,Treatment and prevention of Sneezing and runny nose due to allergiesTreatment of Nasal congestion (blocked nose)Treatment of Nasal polyps
norfloxacin + lactobacillus,Treatment of Bacterial infections
nitazoxanide,Treatment of Infective DiarrheaTreatment of Worm infections
piracetam, Alzheimer's disease Stroke Dementia in Parkinson's disease Age related memory loss Head injury
fluticasone propionate,Treatment of Sneezing and runny nose due to allergies
benzoyl peroxide + clindamycin, Acne
beclometasone + fusidic acid, Skin infections
vinpocetine, Alzheimer's disease Stroke Dementia in Parkinson's disease Age related memory loss Head injury
nimesulide + paracetamol + chlorzoxazone, Pain due to muscle spasm
norethisterone,Treatment of Heavy menstrual bleedingTreatment of Pain during menstruationTreatment of EndometriosisTreatment of Premenstrual syndrome (PMS)
lidocaine + nifedipine,Treatment of Anal fissure
fluconazole, Ear infectionTreatment of Fungal infections
ciclopirox, Fungal skin infections Fungal nail infections
miconazole + mometasone + nadifloxacin,Treatment of Skin infections
nitroglycerin,Treatment of Angina (heart-related chest pain)
mefenamic acid, Pain relief
citicoline + piracetam, Stroke
formoterol + budesonide,Treatment of Chronic obstructive pulmonary disease (COPD)
amoxycillin,Treatment of Bacterial infections
pregabalin + nortriptyline + methylcobalamin,Treatment of Neuropathic pain
nimesulide, Pain reliefTreatment of Fever
etoricoxib + serratiopeptidase, Pain relief
dicyclomine + diclofenac,Treatment of Abdominal pain
cilnidipine + metoprolol succinate, Hypertension (high blood pressure)
levo-carnitine + methylcobalamin + folic acid,Treatment of Nutritional deficiencies
fluticasone propionate,Treatment of Sneezing and runny nose due to allergies
progesterone, Hormone replacement therapy Female infertility
sodium chloride,Treatment of Nasal congestion (blocked nose)
methylcobalamin + pregabalin,Treatment of Neuropathic pain
chlorpheniramine maleate + phenylephrine + paracetamol + sodium citrate, Common cold
nifedipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke
acetylcysteine,Treatment of Paracetamol toxicity
nimesulide, Pain reliefTreatment of Fever
fluconazole,Treatment of Fungal infections
beclometasone + formoterol, Chronic obstructive pulmonary disease (COPD)
clobetasol + salicylic acid,Treatment of EczemaTreatment of Psoriasis
clobetasone + nadifloxacin, Skin infections
caffeine + diphenhydramine + paracetamol + phenylephrine,Treatment of Common cold
sodium chloride,Treatment of Nasal congestion (blocked nose)
ketoconazole, Fungal skin infections
levosalbutamol + ipratropium,Treatment of Chronic obstructive pulmonary disease (COPD)
pregabalin,Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
chlorpheniramine maleate + phenylephrine,Treatment of Common cold
diclofenac, Pain relief
rosuvastatin,Treatment of High cholesterol Prevention of heart attack and stroke
piracetam, Alzheimer's disease Stroke Dementia in Parkinson's disease Age related memory loss Head injury
nebivolol,Treatment of Hypertension (high blood pressure)Prevention of Heart attackPrevention of Stroke
levosalbutamol + ambroxol + guaifenesin, Chronic obstructive pulmonary disease (COPD)
chlorpheniramine maleate + phenylephrine,Treatment of Common cold
clotrimazole,Treatment of Fungal skin infections
nifedipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke
levo-carnitine, Carnitine deficiency
nadifloxacin,Treatment of Bacterial skin infections
diclofenac + paracetamol, Pain relief
pregabalin,Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
esomeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
olmesartan medoxomil + cilnidipine, Hypertension (high blood pressure)
progesterone, Hormone replacement therapyTreatment of Female infertility
nifedipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke
salbutamol + theophylline + menthol, Cough
trifluoperazine + trihexyphenidyl, Schizophrenia
memantine, Alzheimer's disease
desvenlafaxine, Depression
nebivolol,Treatment of Hypertension (high blood pressure)Prevention of Heart attackPrevention of Stroke
magnesium bisglycinate,Treatment of Nutritional deficiencies
norfloxacin + tinidazole,Treatment of DiarrheaTreatment of Dysentery
cefepime,Treatment of Severe bacterial infections
etoricoxib + vitamin d, Pain relief
paracetamol, Pain reliefTreatment of Fever
lidocaine, Local anesthesia (Numb tissues in a specific area)
diclofenac, Pain relief
nitroglycerin,Treatment of Angina (heart-related chest pain)
piracetam, Alzheimer's disease Stroke Dementia in Parkinson's disease Age related memory loss Head injury
nimesulide + paracetamol, Pain relief
domperidone + pantoprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
nebivolol,Treatment of Hypertension (high blood pressure)Prevention of Heart attackPrevention of Stroke
nimesulide, Pain reliefTreatment of Fever
caffeine + diphenhydramine + paracetamol + phenylephrine,Treatment of Common cold
levosulpiride, Gastroesophageal reflux disease (Acid reflux) Irritable bowel syndrome Heartburn
nintedanib,Treatment of Idiopathic pulmonary fibrosisTreatment of Non-small cell lung cancer
nebivolol + cilnidipine, Hypertension (high blood pressure)
dehydroepiandrosterone + calcium + vitamin d + l-methyl folate + pyridoxal--phosphate, Female infertility
nitroglycerin,Treatment of Angina (heart-related chest pain)
nifedipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke
gliclazide,Treatment of Type 2 diabetes mellitus
acetylcysteine,Treatment of Paracetamol toxicity
pregabalin + nortriptyline,Treatment of Neuropathic pain
tolvaptan,Treatment of Low levels of sodium in the blood
cilnidipine + chlorthalidone, Hypertension (high blood pressure)
aceclofenac + thiocolchicoside,Treatment of Pain due to muscle spasm
methylcobalamin + pregabalin,Treatment of Neuropathic pain
chlorpheniramine maleate + paracetamol + phenylephrine,Treatment of Common cold
cinitapride + pantoprazole,Treatment of Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease
nimesulide, Pain reliefTreatment of Fever
nebivolol + cilnidipine, Hypertension (high blood pressure)
aceclofenac + paracetamol + serratiopeptidase, Pain relief
paracetamol + pseudoephedrine + cetirizine + zinc, Common cold
etoricoxib, Pain relief
nitroglycerin,Treatment of Angina (heart-related chest pain)
norethisterone,Treatment of Heavy menstrual bleedingTreatment of Pain during menstruationTreatment of EndometriosisTreatment of Premenstrual syndrome (PMS)
methylcobalamin + piracetam, Cognitive enhancer
progesterone, Hormone replacement therapyTreatment of Female infertility
ganciclovir, Cytomegalovirus Infection
insulin aspart + insulin aspart protamine, Diabetes
gliclazide + metformin,Treatment of Type 2 diabetes mellitus
naftopidil, Benign prostatic hyperplasia
nepafenac,Treatment of Post-operative eye pain and inflammation
rosuvastatin + ezetimibe, High cholesterol
methylcobalamin, Vitamin B12 deficiency
amoxycillin + clavulanic acid,Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections
levosulpiride + pantoprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)
nebivolol + hydrochlorothiazide, Hypertension (high blood pressure)
piracetam, Alzheimer's disease Stroke Dementia in Parkinson's disease Age related memory loss Head injury
nitazoxanide + ofloxacin, Diarrhea Dysentery
pregabalin,Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
amoxycillin,Treatment of Peptic ulcer diseaseTreatment of Bacterial infections
nepafenac,Treatment of Post-operative eye pain and inflammation
fenofibrate + rosuvastatin,Treatment of High cholesterolPrevention of Heart attack
netilmicin, Bacterial infections
astaxanthin + coenzyme q + levo-carnitine + lycopene + zinc sulphate monohydrate + selenium + piperine, Infertility
pregabalin + nortriptyline,Treatment of Neuropathic pain
amoxycillin,Treatment of Peptic ulcer diseaseTreatment of Bacterial infections
nitazoxanide, Diarrhea Worm infections
pregabalin + nortriptyline,Treatment of Neuropathic pain
gabapentin + methylcobalamin,Treatment of Neuropathic pain
cefuroxime,Treatment of Bacterial infections
nimesulide, Pain reliefTreatment of Fever
alpha lipoic acid + l-methyl folate calcium + methylcobalamin + pregabalin + pyridoxal--phosphate, Neuropathic pain
potassium magnesium citrate, Nutritional deficiencies
ketoconazole, Fungal skin infections
idebenone,Treatment of Friedreich's ataxiaTreatment of Leber’s Hereditary Optic Neuropathy
levosulpiride, Gastroesophageal reflux disease (Acid reflux) Irritable bowel syndrome Heartburn
ciclopirox, Fungal skin infections Fungal nail infections
nicotine, Quitting smoking
nitroglycerin,Prevention of Angina (heart-related chest pain)
aceclofenac + paracetamol + serratiopeptidase, Pain relief
citicoline,Treatment of StrokeTreatment of Head injuryTreatment of Alzheimer's diseaseTreatment of Dementia in Parkinson's disease
progesterone, Hormone replacement therapy Female infertility
paracetamol, Pain reliefTreatment of Fever
insulin isophane/nph + human insulin/soluble insulin, Diabetes
fluticasone furoate,Treatment of Sneezing and runny nose due to allergies
methylcobalamin + pregabalin,Treatment of Neuropathic pain
citicoline + piracetam, Stroke
progesterone, Hormone replacement therapyTreatment of Female infertility
diclofenac, Post-operative eye pain and inflammation Pain relief
esomeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
progesterone, Hormone replacement therapy Female infertility
olmesartan medoxomil + cilnidipine + chlorthalidone, Hypertension (high blood pressure)
methylcobalamin + alpha lipoic acid + vitamin b + folic acid,Treatment of Vitamin & mineral deficiencyTreatment of Diabetic nerve pain
nepafenac,Treatment of Post-operative eye pain and inflammation
nimesulide + paracetamol, Pain relief
insulin aspart + insulin aspart protamine, Diabetes
nicorandil,Treatment of Angina (heart-related chest pain)
norethisterone,Treatment of Heavy menstrual bleedingTreatment of Pain during menstruationTreatment of EndometriosisTreatment of Premenstrual syndrome (PMS)
nadifloxacin,Treatment of Bacterial skin infections
nepafenac,Treatment of Post-operative eye pain and inflammation
trioxasalen, Vitiligo Psoriasis
nicorandil,Treatment of Angina (heart-related chest pain)
memantine, Alzheimer's disease
nicorandil,Treatment of Angina (heart-related chest pain)
doxycycline,Treatment of Bacterial infectionsTreatment of Acne
iron sucrose,Treatment of Iron deficiency anemia
nebivolol + hydrochlorothiazide, Hypertension (high blood pressure)
zoledronic acid, Osteoporosis Hypercalcemia
piracetam, Alzheimer's disease Stroke Dementia in Parkinson's disease Age related memory loss Head injury
nebivolol + cilnidipine, Hypertension (high blood pressure)
doxylamine + vitamin b,Treatment of Nausea and vomiting in pregnancy
nimesulide + paracetamol, Pain relief
